FID,TAZID,CO_TAZID,DEVACRES,SA_2016,HH_19,JOB_19,JOBAUTO_19,HHAUTO_19,JOBTRANSIT_19,HHTRANSIT_19,COMPAUTO_19,COMPTRANSIT_19,HH_30,JOB_30,JOBAUTO_30,HHAUTO_30,JOBTRANSIT_30,HHTRANSIT_30,COMPAUTO_30,COMPTRANSIT_30,HH_40,JOB_40,JOBAUTO_40,HHAUTO_40,JOBTRANSIT_40,HHTRANSIT_40,COMPAUTO_40,COMPTRANSIT_40,HH_50,JOB_50,JOBAUTO_50,HHAUTO_50,JOBTRANSIT_50,HHTRANSIT_50,COMPAUTO_50,COMPTRANSIT_50,SHAPE_Length,SHAPE_Area
1,460,110460,322.29,7,487.3,656.3,101130.294343,84115.3735485,10600.0109276,5954.12871921,63363.2700318,5502.18787584,1480,2820.6,135480.169879,111257.752147,12683.9529253,7264.34714598,89316.3506108,6818.1589815,2044,4235.3,141072.970278,126724.097259,14209.065089,8388.18356235,101536.89274,7946.27760576,2402.5,5544.6,134591.885706,124669.289473,19883.6535094,12108.9215266,101310.237838,11474.0175965,6428.22227546732,2300707.32117194
2,461,110461,316.91,7,366,292.8,101938.859894,85352.2510698,9851.594169,5710.9917722,59997.4186385,5082.73218515,770.8,1741.1,132178.040491,109531.619043,11998.6542193,7094.81434941,89444.6308844,6603.55865343,968.3,2995.9,137976.461686,124934.197913,13288.3130942,8170.59155965,104959.656221,7717.67910712,1027.5,3844.5,131947.607272,121915.435514,19003.4918986,11927.4237285,104977.193734,11358.1790344,6397.40231174347,2263013.70708731
3,656,350656,701.91,4,0,0,229443.030172,56869.5368887,0,0,0,0,0,0,236007.498,44990.6711727,0,0,0,0,0,0,269169.840051,59041.3164383,0,0,0,0,0,0,286427.084,52999.6468726,0,0,0,0,10061.6532507541,5864134.72684985
4,657,350657,531.28,4,0,8,238213.276516,59139.4532737,0,0,59139.4532737,0,0,9.1,251780.996694,46978.4687145,0,0,46978.4687145,0,0,9.1,296910.265924,64853.7583141,0,0,64853.7583141,0,0,9.2,311148.886076,57255.0687507,0,0,57255.0687507,0,8556.9533731595,3760037.86122866
5,2696,492696,574.81,0,13,15,59185.3753024,38405.1604779,0,0,32434.8780203,0,13,15,65115.3805258,49970.9024428,0,0,39113.9388362,0,13,15.2,79911.3899996,66946.7452755,0,0,51483.2515984,0,405,421,94447.9397878,102817.993017,10604.4705953,6284.15762774,69420.1202053,5908.99313321,8798.13995836422,3982970.29166237
6,2697,492697,451.38,0,8,2,86010.5403443,55174.7221475,0,0,43637.2601284,0,8,2,92579.4471263,72078.3788937,3407.07672031,1627.4627563,49484.1934895,1706.43308466,18,183,104499.720731,91889.212913,5226.20360288,2935.64744434,86056.618564,2905.70340469,502,437,108987.490629,119337.358468,15090.6439549,8941.88709411,77942.5796086,8375.49204829,7172.61930745561,3125082.97862174
7,2695,492695,294.48,0,5,7,89397.6212278,57352.3061084,0,0,49369.8806958,0,5,7,96022.2405544,74798.6775903,0,0,59302.2596383,0,22,104,110510.867416,97647.379433,0,0,86283.7144091,0,390,369,110200.334848,122873.33217,13132.3116787,8686.89829483,80682.138062,7607.0857969,5935.29100952031,2039463.74080637
8,1354,351354,739.44,2,192.2,444.9,173523.913636,118032.900207,0,0,102654.636141,0,611.3,947.7,196305.295458,126052.11452,0,0,110802.405142,0,1034.2,1389,249937.124065,138799.441165,0,0,134410.061493,0,1372,1838.1,283086.558631,146058.454623,0,0,149597.330267,0,9716.19680754503,5657085.12101519
9,1355,351355,728.58,2,657.3,487,165340.152346,113831.913739,0,0,89875.9823832,0,840.5,850.1,189944.843714,123013.300206,0,0,104911.535959,0,931.8,1821.2,239789.12132,135040.938746,0,0,130571.105912,0,1008.2,2550.7,279188.935705,144838.502523,0,0,147047.299788,0,9714.31950835543,5273064.20465415
10,1362,351362,275.46,2,53.3,102.3,174525.700132,117929.782938,0,0,101320.743529,0,200.3,171.5,206129.694182,128155.392693,0,0,111168.663944,0,350.5,318.7,269950.80589,145479.427061,0,0,143008.204448,0,487.2,523.7,324639.104804,166115.284226,0,0,171415.771634,0,5711.91665889467,1936358.61916047
