TAZID,CO_TAZID,DEVACRES,HH_19,JOB_19,JOBAUTO_19,HHAUTO_19,JOBTRANSIT_19,HHTRANSIT_19,COMPAUTO_19,COMPTRANSIT_19,HH_30,JOB_30,JOBAUTO_30,HHAUTO_30,JOBTRANSIT_30,HHTRANSIT_30,COMPAUTO_30,COMPTRANSIT_30,HH_40,JOB_40,JOBAUTO_40,HHAUTO_40,JOBTRANSIT_40,HHTRANSIT_40,COMPAUTO_40,COMPTRANSIT_40,HH_50,JOB_50,JOBAUTO_50,HHAUTO_50,JOBTRANSIT_50,HHTRANSIT_50,COMPAUTO_50,COMPTRANSIT_50
1,30001,374.61,1.1,0.0,30077,20324,0,0,30077,0,1.2,0.0,36176,25543,0,0,36176,0,1.6,0.0,36928,27994,0,0,36928,0,2.8,0.0,36346,28902,0,0,36346,0
2,30002,638.02,15.2,3.6,32960,22318,0,0,31728,0,15.3,3.6,39705,28076,0,0,38328,0,15.6,3.5,40523,30751,0,0,39370,0,16.7,3.6,39895,31760,0,0,38950,0
3,30003,470.79,5.1,2.6,33930,22989,0,0,31525,0,5.2,2.6,40892,28928,0,0,38235,0,5.6,2.6,41731,31676,0,0,39550,0,6.6,2.6,41088,32720,0,0,39468,0
4,30004,779.84,21.0,24.1,33229,22504,0,0,29066,0,21.0,23.6,40035,28312,0,0,35453,0,21.0,26.9,40861,31009,0,0,36594,0,21.0,34.4,40229,32026,0,0,36130,0
5,30005,395.38,30.5,69.5,41843,28507,0,0,34409,0,30.8,69.3,50621,35942,0,0,42366,0,31.6,70.3,51647,39319,0,0,44617,0,34.8,73.1,50882,40623,0,0,45122,0
6,30006,900.97,15.1,43.9,42844,29186,0,0,34424,0,15.1,43.9,51835,36818,0,0,42463,0,15.1,44.0,52896,40273,0,0,44883,0,15.1,44.4,52160,41628,0,0,45399,0
7,30007,1615.31,0.0,171.9,35792,24258,0,0,24258,0,0.0,274.3,43215,30556,0,0,30556,0,0.0,321.1,44213,33508,0,0,33508,0,0.0,345.4,44037,34987,0,0,34987,0
8,30008,501.95,0.0,0.0,22101,15322,0,0,0,0,0.0,0.0,26333,19027,0,0,0,0,0.0,0.0,27075,20831,0,0,0,0,0.0,0.0,27090,21744,0,0,0,0
9,30009,135.46,12.1,0.0,23199,16079,0,0,23199,0,12.2,0.0,27661,19980,0,0,27661,0,12.3,0.0,28432,21874,0,0,28432,0,12.9,0.0,28443,22833,0,0,28443,0
10,30010,1026.17,55.8,11.0,25531,17689,0,0,24761,0,56.2,10.8,30486,22009,0,0,29648,0,57.3,11.5,31319,24093,0,0,30546,0,61.6,12.6,31320,25150,0,0,30636,0
